question,document,score,reasoning
Do you know the next time this course will run?,bd31146b0e,bad,"The ground truth gives a specific next run time: Summer 2027. The AI answer says it does not know, which fails to provide the correct information and is not semantically equivalent."
What’s the upcoming offering for this course?,bd31146b0e,bad,"The ground truth says the upcoming offering is Summer 2027. The AI answer says 'I don't know,' which does not provide the correct information and misses the key point."
When should I expect the next course session to start?,bd31146b0e,bad,"The ground truth gives a specific next course session start time: Summer 2027. The AI answer instead says the user can start whenever they want and mentions materials and deadlines, which does not answer the question and contradicts the provided timing."
"Is there a planned next run of the course, and when is it?",bd31146b0e,bad,"The ground truth states the planned next run is Summer 2027. The AI answer says 'I don't know,' which does not convey the correct information and misses the key point."
Where can I find the course videos or lectures?,31456f4b5f,good,"The AI answer conveys the same instructions as the ground truth: use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, find videos linked at the top of each lesson page, and prefer the repo over the YouTube playlist because it is more up to date. This is semantically equivalent."
Is there a central place I should start from for the lessons and videos?,31456f4b5f,good,"The AI answer matches the ground truth: it identifies the LLM Zoomcamp GitHub repository as the main entry point, notes that lesson folders contain the relevant videos linked at the top, and says to follow the repo first because it is easier to keep updated than the YouTube playlist."
How do I get to the videos for each lesson in the course?,31456f4b5f,good,"The AI answer matches the ground truth: it points to the LLM Zoomcamp GitHub repository as the main entry point, says to open lesson folders, notes that videos are linked at the top of each lesson page, and advises using the GitHub repo over the YouTube playlist because it is easier to keep updated. This is semantically equivalent."
Should I use the GitHub repo or the YouTube playlist to follow the course?,31456f4b5f,good,"The AI answer matches the ground truth: it recommends using the GitHub repo as the main entry point, notes that it is easier to keep updated than the YouTube playlist, and says lesson folders link to relevant videos. This preserves the key guidance and is semantically equivalent."
Where are the lecture links listed for every lesson page?,31456f4b5f,good,"The AI answer correctly states that the lecture links are at the top of each lesson page in the lesson folders of the LLM Zoomcamp GitHub repository, which matches the ground truth. It omits the extra guidance about using the GitHub repo as the main entry point and preferring it over the YouTube playlist, but that is supplementary rather than essential to the question."
Where do I check the LLM Zoomcamp syllabus and see what’s in the current cohort?,20c5a1347e,good,"The AI answer gives the same course management platform URL and states it contains the current cohort structure and progress tracking, along with syllabus/homework/deadlines. This matches the ground truth; the extra mention of syllabus is acceptable and does not change the meaning."
Is there a place to follow deadlines and homework for the LLM Zoomcamp course?,20c5a1347e,good,"The AI answer matches the ground truth: it points to the LLM Zoomcamp course management platform and states that it contains cohort structure, homework, deadlines, and progress tracking. This is semantically equivalent."
How can I track my progress in LLM Zoomcamp without digging through messages?,20c5a1347e,good,"The AI answer conveys the same core information as the ground truth: use the LLM Zoomcamp course management platform at the given URL for progress tracking, homework, deadlines, and cohort structure, and that it avoids digging through messages. This is semantically equivalent."
"What platform should I use for the LLM Zoomcamp schedule, homework, and cohort info?",20c5a1347e,good,"The AI answer identifies the correct platform and includes the same core information as the ground truth: schedule, homework, cohort structure, deadlines, and progress tracking. It is semantically equivalent."
Does LLM Zoomcamp have a course management site like the other DataTalks.Club Zoomcamps?,20c5a1347e,good,"The AI answer correctly states that LLM Zoomcamp has a course management platform and provides the same URL. It also mentions syllabus, deadlines, homework, and progress tracking, which matches the ground truth's current cohort structure, homework, deadlines, and progress tracking. The meaning is preserved."
"Do you guys run live sessions for every module, or is everything just prerecorded in the repo?",d65e05bd7a,good,"The AI answer matches the core ground truth: no live sessions by default, materials are pre-recorded in the repo, and live sessions are announced separately. It also includes the Slack guidance. It omits the optional AI Shipping Labs extra support, but that is additional information rather than a required core point for this question."
"If I get stuck on a module, where should I ask for help — Slack or somewhere else?",d65e05bd7a,good,"The AI answer captures the key point that questions should be asked in Slack and mentions following the asking questions guidelines. It adds helpful advice about including code/output as text. However, it omits the important context that there are no separate live sessions by default and does not mention the optional paid AI Shipping Labs support, but these are not essential to the direct question about where to ask for help. Semantically, it is equivalent enough."
"Are office hours included in the free course, or do I need to pay for extra support?",d65e05bd7a,good,"The AI answer matches the ground truth: it states that office hours are not included by default in the free course, that materials are free and pre-recorded with no live sessions for every module, and that optional paid AI Shipping Labs provides regular Zoom office hours and extra structure. It omits the Slack question guidance, but that is not essential to the core answer."
"How do I know when a live session is happening, since it doesn't seem to be part of every module?",d65e05bd7a,good,"The AI answer matches the core ground truth: live sessions are not included for every module, materials are pre-recorded, and live sessions are announced separately. It also correctly says to ask questions in Slack and follow the guidelines. The extra mention of Telegram and YouTube is not in the original answer, but it does not contradict it and is acceptable as additional detail. One nuance missing is the optional AI Shipping Labs support, but that was supplementary rather than the main answer to the question."
Is there any optional paid community with regular Zoom help for this course?,d65e05bd7a,good,"The AI answer correctly identifies the optional paid community as AI Shipping Labs and states that it includes regular Zoom office hours and is optional while the course remains free. This matches the ground truth key points, though it omits some details about live sessions being announced separately and using Slack for questions, which are not necessary for the core answer."
Can I count a Bluesky post as learning in public credit for this course?,dbf5369006,good,The AI answer matches the ground truth meaning exactly: it affirms that Bluesky posts can count for learning in public credits for the course. No key information is missing or changed.
Are Bluesky updates accepted for learning in public credits?,dbf5369006,good,"The AI answer matches the ground truth exactly, affirming that Bluesky posts are accepted for learning in public credits."
Does posting on Bluesky qualify for learning in public credit?,dbf5369006,good,The AI answer exactly matches the ground truth and conveys the same meaning: Bluesky posts qualify for learning in public credit.
Can I use my Bluesky activity toward the public learning requirement?,dbf5369006,good,The AI answer exactly matches the ground truth and conveys the same meaning: Bluesky posts count toward learning in public credits.
Is Bluesky allowed when submitting learning in public credits?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning: it clearly states that Bluesky posts are allowed for learning in public credits.
What’s the Telegram link for LLM Zoomcamp?,054f3fd58f,good,"The AI answer gives the correct Telegram link for LLM Zoomcamp. It omits the extra note about using Slack for technical discussion, but that is not required to answer the question asked."
Where can I find the LLM Zoomcamp Telegram channel?,054f3fd58f,good,"The AI answer gives the correct Telegram channel URL, which matches the ground truth. It omits the additional note about using Slack for technical discussion, but the question only asks where to find the Telegram channel, so the core information is present."
Is there a Telegram channel for LLM Zoomcamp announcements?,054f3fd58f,good,"The AI answer matches the ground truth exactly in meaning and content: it provides the correct Telegram channel link and notes that it is for announcements, while technical discussion should go to Slack."
Which channel should I use for announcements in LLM Zoomcamp?,054f3fd58f,good,"The AI answer correctly states the Telegram channel link and that it is used for announcements. It omits the note about using Slack for technical discussion/questions, but the question asks specifically which channel to use for announcements, so the core answer matches."
"Where should I ask technical questions, on Telegram or Slack?",054f3fd58f,good,The AI answer matches the ground truth: Telegram is for announcements and technical discussion/questions should be in the course Slack channel. It preserves the key distinction and recommendation.
Why do I get a different number of FAQ records than what I see in the course videos?,e2d595f23c,good,"The AI answer preserves the key point: the FAQ dataset is live and changes over time, so the record count can differ from the course videos. It also correctly mentions the videos were recorded in May 2026. This is semantically equivalent to the ground truth."
Is it normal if my dataset count doesn’t match the videos for the FAQ assignment?,e2d595f23c,good,"The AI answer preserves the key explanation: the dataset is live and changes over time, and the videos are outdated because they were recorded in May 2026, so counts may not match. This is semantically equivalent to the ground truth."
Why has the FAQ data changed since the videos were recorded?,e2d595f23c,good,"The AI answer preserves the key point: the FAQ uses a live dataset that changes over time, with questions added and deleted, so counts can differ from the May 2026 videos. This is semantically equivalent to the ground truth."
Should I expect some questions to be added or removed from the live FAQ dataset over time?,e2d595f23c,good,"The AI answer conveys the core point that the live FAQ dataset changes over time and that questions may be added or removed. It omits the note about the videos being recorded in May 2026 and the count differing later, but that is supplementary rather than essential to the direct question asked."
Why is the record count in my run not the same as the one shown in the May 2026 videos?,e2d595f23c,good,"The AI answer preserves the key explanation: the FAQ dataset is live and changes over time, so counts differ from the May 2026 videos. This is semantically equivalent to the ground truth."
"The homework deadline already passed, but the form still lets me submit — is that still allowed?",a9353fadfe,good,"The AI answer preserves the key point: submissions are allowed after the deadline if the form remains open, and are disallowed once the form closes. This is semantically equivalent to the ground truth."
"If the submission form is open after the deadline, can I still turn in my homework?",a9353fadfe,good,"The AI answer matches the ground truth: it says submission is allowed if the form remains open even after the deadline, and disallowed only after the form is closed. This preserves the key meaning exactly."
Does the deadline matter if the homework form hasn’t been closed yet?,a9353fadfe,good,"The AI answer matches the ground truth: it says submissions are still allowed while the form is open even after the deadline, and that the deadline only stops mattering once the form is closed. No key information is missing or contradicted."
Can I submit homework late as long as the form is still open?,a9353fadfe,good,"The AI answer matches the ground truth: it says late homework can still be submitted while the form remains open, and that submissions are only disallowed once the form closes. This preserves the key meaning without contradiction."
At what point am I no longer able to submit homework after the deadline?,a9353fadfe,good,"The AI answer matches the ground truth: submission is allowed after the deadline as long as the form remains open, and it is no longer possible only once the form is closed. No key information is missing or incorrect."
"Can I turn in homework after the deadline has passed, or is it closed for good?",cdc3b285e5,good,"The AI answer correctly states that submissions are allowed while the form remains open even after the listed deadline, and that once the form is closed there are no late submissions or extensions. It omits the extra information about homework not affecting the certificate and only counting toward leaderboard rank, but that is not required to answer the question asked."
Do you ever give personal deadline extensions for homework in this course?,cdc3b285e5,good,"The AI answer correctly states that there are no individual deadline extensions and no late submissions once the homework form is closed. It omits the extra information about being able to submit while the form is still open after the deadline, and about homework not affecting the certificate/leaderboard, but the core answer to the question is preserved."
"If I miss a homework, does that mean I can't get the certificate anymore?",cdc3b285e5,good,"The AI answer preserves the key point that missing homework does not affect the certificate and that only the Capstone project is required. It also correctly notes homework contributes to leaderboard rank. It omits the submission-form/late-submission detail, but that is not necessary to answer the question asked."
Are late homework submissions accepted as long as the form is still open?,cdc3b285e5,good,"The AI answer captures the key rule that submissions are allowed while the form is open, even after the listed deadline, and are no longer accepted once the form closes. However, the original answer begins with 'No' to the question 'Are late homework submissions accepted as long as the form is still open?' because there are no individual deadline extensions and submissions are only allowed until the form closes. The AI wording is a bit misleading by saying 'Yes' to the question without clarifying that this is only true while the form remains open and that there are no late submissions after closure. Still, it does convey the main policy accurately enough."
"Does skipping a homework affect my final certificate, or only my leaderboard score?",cdc3b285e5,good,"The AI answer matches the key points of the ground truth: missing homework does not affect the final certificate, homework is not mandatory, and homework points only affect leaderboard ranking. It omits the details about no late submissions and the form being usable until closed, but those are not required for semantic equivalence to the asked question."
"Does the name I enter for the certificate get shown on the public leaderboard too, or is it kept separate?",651ba06b34,good,"The AI answer correctly states that the certificate name is separate and only appears on the certificate, while the public leaderboard uses a different display name/nickname. It preserves the key distinction from the ground truth. It omits some extra details about anonymity, sharing with third parties, and where to edit profiles, but those are not necessary for semantic equivalence."
"If I put my real name in the certificate name field, will it be visible online or shared with anyone else?",651ba06b34,good,"The AI answer preserves the key point: the certificate name is private, only shown on the certificate, and not shared online or with third parties. It also correctly notes that the leaderboard uses a separate display name. It omits the extra detail about the random anonymous nickname and where to edit the profile, but that is not essential to the question."
What’s the difference between the display name on the leaderboard and the name printed on the certificate?,651ba06b34,good,"The AI answer preserves the key distinction: leaderboard name is public/nickname-based, certificate name is official and only on the certificate, and both can be set separately in Edit Course Profile with the first field for the leaderboard and second for the certificate. This is semantically equivalent to the ground truth."
Where do I change the public nickname versus the official certificate name in the course profile?,651ba06b34,good,"The AI answer correctly identifies 'Edit Course Profile' and maps the first field to the public nickname/display name and the second field to the official certificate name. This matches the ground truth. It omits extra privacy explanation, but that is not required for semantic equivalence."
Can I keep my real name off the leaderboard but still have it on the certificate?,651ba06b34,good,"The AI answer matches the ground truth: it explains that the leaderboard uses a nickname/display name while the certificate can show the official real name, and that the real name appears only on the certificate. Minor wording differences do not change the meaning."
"Why don't we use LangChain in this course, and what do we learn first instead?",b7cdde6b25,good,"The AI answer matches the ground truth: it explains that LangChain is skipped initially so students learn the core components first (prompting, retrieval, indexing, evaluation) and uses the same analogy about learning HTML/CSS/JavaScript before React/Angular. It preserves the key meaning accurately."
"Is LangChain required for building LLM apps, or can you do the basics without it?",b7cdde6b25,good,"The AI answer matches the ground truth: it says LangChain is not required, you can build the basics without it, and the course starts with core pieces like prompting, retrieval, indexing, and evaluation before introducing frameworks. This preserves the main meaning and analogy implication about learning fundamentals first."
"Why does the course make us build retrieval, indexing, and evaluation ourselves before any framework?",b7cdde6b25,good,"The AI answer captures the same key points as the ground truth: the course builds the core components first (prompting, retrieval, indexing, evaluation) before introducing a framework, and it uses the same HTML/CSS/JavaScript before React/Angular analogy. This is semantically equivalent."
What's the point of learning the core RAG pieces manually instead of jumping straight to LangChain?,b7cdde6b25,good,"The AI answer preserves the key idea: learning core RAG components manually helps you understand what LangChain automates, and it uses the same HTML/CSS/JavaScript vs React/Angular analogy. It includes the same core pieces (prompting, retrieval, indexing, evaluation) and the same rationale about using frameworks better after understanding fundamentals."
Is the idea that frameworks like LangChain are easier to use after understanding the underlying parts?,b7cdde6b25,good,"The AI answer preserves the core meaning of the ground truth: it says frameworks like LangChain are easier to use well after understanding the underlying components they automate, and it mentions the same core pieces. This is semantically equivalent."
Why do I get an OpenAI API error about insufficient credits when I run responses.create?,f5df151c59,good,"The AI answer correctly explains that the error occurs because the OpenAI account lacks sufficient credits/quota and includes the same error message. The extra advice about billing, model availability, and recreating the API key does not contradict the ground truth and the core answer matches."
What does the OpenAI responses.create command fail with if my account has no credits left?,f5df151c59,good,"The AI answer matches the ground truth exactly in meaning and wording, including the specific error message returned when credits are insufficient."
I’m seeing an OpenAI API Error: Insufficient credits on responses.create — is this a billing issue?,f5df151c59,good,"The AI answer correctly identifies that the 'Insufficient credits' error on `responses.create` is a billing/quota issue, which matches the ground truth. It adds extra troubleshooting detail, but the core meaning is preserved."
How can I fix the insufficient credits error in OpenAI when using responses.create?,f5df151c59,good,"The ground truth only states that the error occurs due to insufficient credits in the OpenAI account, with the error message 'OpenAI API Error: Insufficient credits.' The AI answer explains adding credits and billing, which matches the key fix. It includes extra suggestions about API key, OpenRouter, and token limits, but these do not contradict the core answer. Semantically equivalent."
Is there a reason responses.create would throw an insufficient credits message in OpenAI?,f5df151c59,good,"The AI answer correctly states that `responses.create` can throw an insufficient credits error when the OpenAI account lacks API credits/quota, which matches the ground truth. It adds extra context about OpenRouter that is not in the original answer, but that does not contradict the core answer. "
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53,good,"The AI answer captures the key point of the ground truth: the 429 RateLimitError is due to account quota/billing (`insufficient_quota`), not necessarily a bug in the code, and it recommends adding billing credits and possibly recreating the API key. It also mentions using a model available to the account, which matches the original. The extra suggestion about retries is additional but does not contradict the core answer. Minor omission: it does not explicitly say to check the billing overview link or that the specific error message is 'You exceeded your current quota,' but the essential meaning is preserved."
"Does OpenAI API have any free quota, or do I need to add billing first?",152af39a53,good,"The AI answer correctly states the key point from the ground truth: there is no free OpenAI API quota and billing/funds must be added first. It omits extra troubleshooting steps, but those are not necessary for semantic equivalence to the core answer."
How do I fix the 'insufficient_quota' error when calling responses.create with gpt-4o?,152af39a53,good,"The AI answer correctly identifies that insufficient_quota for gpt-4o is caused by lack of billing credits / pay-as-you-go and recommends adding credits, using an available model, and possibly recreating the API key. The extra OpenRouter-specific note is not in the ground truth, but it does not negate the core answer. Overall semantically equivalent."
"After I add credits, do I need to generate a new API key for it to work?",152af39a53,good,"The AI answer captures the key point from the ground truth: after adding credits, you might need to recreate/update your API key locally. It omits the surrounding explanation about quota and billing, but that is not necessary for this specific question."
Where can I check which OpenAI models are available on my account?,152af39a53,good,"The AI answer is semantically consistent with the ground truth. It says you can check available models in your OpenAI account settings/model selection after adding credits, which matches the original guidance that you need to add credits and then choose one of the models available to you. It does not mention the exact image or billing steps in detail, but it preserves the core answer. "
How much money do I need to start using the OpenAI API for this course?,554d0eb78b,good,"The AI answer correctly states that usage is very cheap, initial usage is fractions of a cent, and recharging starts from $5. The extra note about free or low-cost alternatives is not in the ground truth, but it does not contradict the core answer."
Is it expensive to use the OpenAI API in the RAG module?,554d0eb78b,bad,"The ground truth says using the OpenAI API for the course should cost very little, with recharge starting at $5 and initial usage usually fractions of one cent. The AI answer incorrectly says you don’t have to pay for OpenAI API and suggests free alternatives, which changes the core meaning and does not answer the cost question accurately."
What's the minimum I have to add to my OpenAI account before I can use the API?,554d0eb78b,good,"The AI answer correctly states the minimum recharge amount is $5, which matches the ground truth. It omits the extra context that usage is usually very cheap, but that is not essential to the question asked."
Will I end up spending a lot on OpenAI API calls while doing the course?,554d0eb78b,good,"The AI answer preserves the key point that API usage for the course should cost very little, with initial usage usually fractions of a cent. It also adds that free or low-cost alternatives may be used, which does not conflict with the original. It omits the specific detail that recharging can start from $5, but that is not essential to the core answer."
How small is the typical cost when using the OpenAI API for course exercises?,554d0eb78b,good,"The AI answer captures the key point that typical initial usage costs are fractions of a cent. It omits the $5 recharge detail, but that was secondary and the main cost estimate matches the ground truth."
"Do I need to pay for the OpenAI API to finish the course homework, or are there free options?",85384a18e5,good,"The AI answer matches the ground truth: it clearly says payment for the OpenAI API is not required, and that free or low-cost alternatives are available in the course GitHub repo. It preserves the key point and includes the relevant link. Extra mention of local models is compatible with the original answer."
