question,answer_llm,answer_orig,document
Where do students actually join the office hours or live workshop if the Zoom link isn’t public?,"Students join via **YouTube Live**, not the Zoom link. The **video URL** is posted in the **announcements channel on Telegram and Slack** before the session starts, and it’s also available on the **DataTalksClub YouTube channel**. Questions should be submitted in **Slido**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How can I ask questions during the live sessions if I’m not in the Zoom room?,"Students participate via YouTube Live and submit questions to Slido, with the Slido link pinned in the chat when live. Also check the announcements channel on Telegram and Slack for the live video URL before it starts.

","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Will the office hours stream link be shared somewhere before it starts, and where should I look for it?","Yes — the office hours stream/video link should be posted **before it begins** in the **announcements channel on Telegram and Slack**.

You can also watch it live on the **DataTalksClub YouTube channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I watch the live workshop on YouTube, or is it only for instructors and TAs?",Yes — students can watch the live workshop on YouTube Live. The Zoom link is only for instructors/presenters/TAs.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Should I use the chat to ask questions during office hours, or is there a better place to submit them?","If it’s during office hours or a live session, use **Slido** to submit questions — the link is usually pinned in the chat when the session is live. The context also says **don’t post questions in chat**, because they may get missed.

For regular course questions outside live sessions, ask in **Slack** and follow the asking questions guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where should I begin if I’m just starting LLM Zoomcamp, and what pages or repo should I look at first?","If you’re just starting LLM Zoomcamp, begin with these:

1. The **LLM Zoomcamp docs**:  
   https://datatalks.club/docs/courses/llm-zoomcamp/

2. The **general Zoomcamp logistics docs**:  
   https://datatalks.club/docs/courses/zoomcamp-logistics/

3. The **LLM Zoomcamp GitHub repository**:  
   https://github.com/DataTalksClub/llm-zoomcamp

The repo is the main entry point. Open the lesson folders there, and use the lesson pages to find the relevant videos at the top. If you’re unsure where to go next, follow the GitHub repo first since it’s easier to keep updated than the YouTube playlist.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What’s the usual weekly routine for this course — do I watch the lecture first, then do notebooks, then homework?","Yes — the usual workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit the homework on the course platform before the deadline

So your understanding is right: lecture first, then notebooks, then homework.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Can I join and start the course at any time, or is there a fixed start date I need to wait for?","You can start whenever you want. The videos, GitHub materials, and homework are available, and you don’t need to wait for a registration confirmation.

However, if you want a certificate, you need to complete the course with a live cohort, not in self-paced mode.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
Where do I check the deadlines and submit my homework answers for LLM Zoomcamp?,"Check the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/

That’s where you can see the **deadlines** and **submit your homework answers**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson work, or does it use a different dataset/task?","Yes — the homework is similar to the lesson flow, but it usually uses a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How can I find my own entry on the leaderboard if I’m not sure which one is mine?,"Click the **“Jump to your record on the leaderboard”** link. Your account is assigned a random display name automatically, so that link will take you directly to your entry. If you want to see or change the name shown publicly, use **“Edit Course Profile.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Why do I see a random name on the leaderboard, and can I change it?","You see a random name because the system automatically assigns a random display name when your account is created, such as “Lucid Elbakyan.”

Yes, you can change it:
- Open **Edit Course Profile**
- Change the **first field** to the nickname/display name you want shown on the leaderboard
- The **second field** is for your official name, which appears on your certificate

So the public leaderboard name is separate from your certificate name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where do I check what my displayed name is in the course profile?,Click the **“Edit Course Profile”** button. The first field is your **displayed/public name**.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"If I want my certificate to show my real name instead of the default nickname, what should I update?",Update the **second field** in **Edit Course Profile** — that’s the **official name printed on your certificate**.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I use a Slack or GitHub handle as my course name, and which name ends up on the certificate?","Yes — you can use your Slack username, GitHub username, or another nickname as the **first field** in **Edit Course Profile** for the leaderboard/display name.

The **second field** is the **official name** that will appear on your certificate, and it should match your identification documents if you want it on the certificate.

So:
- **Slack/GitHub handle:** can be used as your public display name
- **Certificate name:** the name in the second field is what ends up on the certificate","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I take the course on my own schedule and still get the certificate, or is it only for the live cohort?",You can only get the certificate if you finish the course with the live cohort. The self-paced mode does **not** qualify for a certificate because you need to peer-review capstone projects while the course is running.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I study the course self-paced, will I be able to receive a certificate at the end?",No. You can only get a certificate if you finish the course with a live cohort. The self-paced mode does not include certificates.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why don’t you give certificates for the self-paced version of the course?,"We don’t award certificates for the self-paced mode because you need to peer-review 3 capstone projects after submitting your own project. That peer-review is only possible while the live cohort is running, before the review form closes and the list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I have to finish the course while it’s running live to qualify for a certificate?,"Yes. To qualify for a certificate, you need to finish the course with a **live cohort** while the course is running, not in self-paced mode.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Is the peer-review part required for getting the certificate, and can that be done after the course ends?","Yes. The peer-review part is required for the certificate: you need to peer-review 3 fellow students’ capstones, and not doing so may prevent you from getting the certificate.

And no, this cannot be done after the course ends. You can only peer-review projects while the course is running, after the review list is released and before the form closes.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I still qualify for the certificate if I missed the first homework?,"Yes — you still qualify for the certificate. You only need to pass the Capstone project; homework is not mandatory, though it helps with learning and leaderboard points.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Is the Capstone project enough to get the course certificate?,"Yes — you need to pass the Capstone project to get the certificate.

However, the capstone alone is **not enough** if you are doing the course self-paced: you can only get a certificate if you finish with a **live cohort**, because you also need to peer-review 3 capstone projects while the course is running.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Are homework assignments required for certification, or are they optional?",Homework assignments are **required for certification**. They are not optional.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn't mandatory, what do those points actually affect?","They only count toward your leaderboard rank. Homework isn’t mandatory, so missing it won’t affect your certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Should I still do the homework even if it's not needed for the certificate?,"Yes — it’s recommended to do the homework even though it’s not required for the certificate.

Homework doesn’t affect the certificate; you only need to pass the Capstone project. But homework points do count toward your leaderboard rank, and they can help reinforce the material.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing before it’s released?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet, so the content can still change before release.

The homework is only ready when:
- the homework form is open on the course management platform, and
- the homework title does not contain `[DRAFT]`.

Until then, changes are expected, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if a homework is actually ready to do?,"A homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

If either of those is not true, it may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when the homework title has [DRAFT] in it?,It means the homework is not ready yet.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can I start working on homework early if it still says draft?,"Yes — if the homework is still marked `[DRAFT]`, you can work on it early, but it’s at your own risk because the final version can still change.

It’s considered ready only when:
- the homework form is open, and
- the title no longer contains `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is it safe to assume the homework won’t change anymore?,"It’s safe to assume the homework won’t change anymore only when **both** of these are true:

- the homework form is **open** on the course management platform, and
- the homework title **does not contain** `[DRAFT]`.

Until then, the content can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the llm-zoomcamp going to be offered again?,I don't know.,Summer 2027.,bd31146b0e
Do you know the next time this course will run?,I don't know.,Summer 2027.,bd31146b0e
What’s the upcoming offering for this course?,I don't know.,Summer 2027.,bd31146b0e
When should I expect the next course session to start?,"You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the course management platform.",Summer 2027.,bd31146b0e
"Is there a planned next run of the course, and when is it?",I don't know.,Summer 2027.,bd31146b0e
Where can I find the course videos or lectures?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:

https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there — each lesson page has the relevant videos linked at the top. If in doubt, follow the GitHub repo first since it’s kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a central place I should start from for the lessons and videos?,"Yes — the central place to start is the **LLM Zoomcamp GitHub repository**.

That’s the main entry point for the lessons, and each lesson folder has the relevant videos linked at the top. If you’re unsure where to begin, follow the GitHub repo first since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I get to the videos for each lesson in the course?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point: https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** in the repo. Each lesson page has the relevant **videos linked at the top**. If you're unsure, follow the GitHub repo rather than the YouTube playlist, since it’s easier to keep updated.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to follow the course?,"Use the **GitHub repo as the main entry point**. The course docs say it’s easier to keep updated than the YouTube playlist, and each lesson folder in the repo links to the relevant videos at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where are the lecture links listed for every lesson page?,The lecture links are listed at the top of each lesson page in the lesson folders of the LLM Zoomcamp GitHub repository.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I check the LLM Zoomcamp syllabus and see what’s in the current cohort?,"Check the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **current cohort structure, syllabus, homework, deadlines, and progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a place to follow deadlines and homework for the LLM Zoomcamp course?,"Yes — you can follow deadlines, homework, and progress on the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How can I track my progress in LLM Zoomcamp without digging through messages?,"Use the **LLM Zoomcamp course management platform** to track your syllabus, deadlines, homework, and progress:

https://courses.datatalks.club/llm-zoomcamp-2026/

It’s the place for progress tracking, so you don’t need to dig through messages.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"What platform should I use for the LLM Zoomcamp schedule, homework, and cohort info?","Use the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **schedule, homework, deadlines, current cohort structure, and progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Does LLM Zoomcamp have a course management site like the other DataTalks.Club Zoomcamps?,"Yes. LLM Zoomcamp has its own course management platform, like the other DataTalks.Club Zoomcamps:

https://courses.datatalks.club/llm-zoomcamp-2026/

It’s used for the syllabus, deadlines, homework, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do you guys run live sessions for every module, or is everything just prerecorded in the repo?","There are no separate live sessions for every module by default. The module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you get stuck, ask in Slack and follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on a module, where should I ask for help — Slack or somewhere else?","Ask in Slack. If it’s unclear, include the code or command output as text, not a screenshot, and follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are office hours included in the free course, or do I need to pay for extra support?","Office hours are **not included by default** in the free course. The course materials are free and pre-recorded, and there are **no separate live sessions for every module**.

If you want extra support, there is an **optional paid** community called **AI Shipping Labs**, which includes regular Zoom office hours and additional structure.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
