question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
"Where should I begin if I’m just starting LLM Zoomcamp, and what pages or repo should I look at first?",04919992b3,good,"The agent answer matches the ground truth closely. It correctly identifies the three starting resources: the LLM Zoomcamp docs, the general Zoomcamp logistics docs, and the LLM Zoomcamp GitHub repository. It also includes the typical workflow of watching videos, working through notebooks/code, reading homework instructions on GitHub, and submitting through the course platform. The extra note about the repo being the main entry point and the offer to point to Module 1 are not in the ground truth, but they do not contradict it. One minor omission is that the ground truth explicitly mentions that students can start whenever they want and that deadlines are listed on the course management platform; the agent partially covers this by mentioning the course platform but not the flexible start/deadline detail. Overall, the substantive answer is correct.",good,"The single search query was relevant and directly quoted the user’s question. Since the question was straightforward and likely answerable from course FAQ knowledge, one search is reasonable. There were no unnecessary duplicate calls, and the query contained the key terms from the question. The tool call supports the final answer."
"What’s the usual weekly routine for this course — do I watch the lecture first, then do notebooks, then homework?",04919992b3,good,"The agent’s answer matches the ground truth key points: it gives the same typical workflow order (watch videos, work through notebooks/code, read homework instructions, submit before the deadline) and confirms the student’s understanding. It omits the extra contextual details about starting anytime and the specific docs/repository links, but those were not required to answer the question. Overall, the answer is correct.",good,"The single search query was relevant to the question and included the main concepts (lecture, notebooks, homework, order). One search is reasonable here, and there were no unnecessary duplicate calls. The tool call supported the final answer adequately."
"Can I join and start the course at any time, or is there a fixed start date I need to wait for?",04919992b3,good,"The agent's answer matches the ground truth. It correctly says the course can be started whenever you want, that videos and GitHub materials are available, and that homework deadlines are on the course management platform. It also preserves the nuance that homework submissions depend on the form being open. This is consistent with the original answer's key points.",good,"The single search query was relevant to the user's question and used core keywords about starting anytime vs a fixed start date. One search is reasonable here, and there were no unnecessary duplicate calls. The tool use supports the final answer."
Where do I check the deadlines and submit my homework answers for LLM Zoomcamp?,04919992b3,good,"The agent answer matches the ground truth on the key point: deadlines and homework answers are handled via the LLM Zoomcamp course management platform, and it includes the correct URL. It also correctly mentions that homework instructions are on GitHub, which is consistent with the original answer. It omits some extra context from the ground truth (docs links, start whenever you want, typical workflow), but the essential information is present.",good,"The search query was directly relevant and included the main keywords from the question (LLM Zoomcamp, deadlines, submit homework answers). Only one search call was made, which is reasonable for this simple lookup. The tool call supported the final answer well."
"Is the homework basically the same as the lesson work, or does it use a different dataset/task?",04919992b3,good,The agent answer matches the ground truth key point: homework follows the lesson workflow but uses a different dataset or slightly different task. It is concise but accurate and preserves the main distinction asked in the question.,good,"The search query was relevant to the question and included the key concepts of homework, lesson work, dataset, and task. Only one search call was made, which is reasonable for a straightforward FAQ-style question. The tool call supported the final answer."
How can I find my own entry on the leaderboard if I’m not sure which one is mine?,c2903069a0,good,"The agent’s answer matches the ground truth well. It correctly says users are assigned a random name like “Lucid Elbakyan,” and that they should click the “Jump to your record on the leaderboard” link to find their entry. It also correctly mentions the Edit Course Profile fields and their purposes, including the public nickname and official name for the certificate. Minor detail: it omits that the official name is mandatory if the user does not want “Lucid Elbakyan” on the certificate, but the key information is present.",good,"The search query was relevant to the question and included the main concepts: finding one’s own leaderboard entry. Only one search call was needed, which is reasonable. The tool use supported the final answer."
"Why do I see a random name on the leaderboard, and can I change it?",c2903069a0,good,"The agent answer matches the ground truth well. It correctly explains that the random leaderboard name is the default public display name, that it is assigned automatically, and that it can be changed in Edit Course Profile. It also correctly distinguishes the first field as the leaderboard/display nickname and the second field as the official certificate name. The only omission is the specific instruction about clicking the ""Jump to your record on the leaderboard"" link to find your entry, but that is extra detail rather than essential to the question.",good,"The single search query was relevant and included key concepts from the question such as random name, leaderboard, change name, and display name. One search was sufficient, and there were no unnecessary duplicate calls. The query supported the final answer appropriately."
Where do I check what my displayed name is in the course profile?,c2903069a0,good,"The agent answer matches the ground truth on the key point: you check your displayed name by clicking 'Edit Course Profile,' and the first field is the display name/nickname. It omits extra details about the random assigned name and the certificate name, but those were not required to answer the question.",good,"The search query was relevant and included the main concepts from the question ('displayed name' and 'course profile'). Only one search was used, which is reasonable for this straightforward question."
"If I want my certificate to show my real name instead of the default nickname, what should I update?",c2903069a0,good,The agent correctly identified that the certificate name is controlled by the second field in Edit Course Profile and that this should be your official/legal name. This matches the ground truth key point. It also correctly distinguished the first field as the nickname/display name. The answer is complete enough and accurate.,good,"The single search query was relevant and contained the core concepts: certificate, real name, default nickname, update name, profile, and legal name. One search is reasonable here, and there were no unnecessary duplicate calls. The tool use supports the final answer."
"Can I use a Slack or GitHub handle as my course name, and which name ends up on the certificate?",c2903069a0,good,"The agent’s answer matches the ground truth. It correctly says a Slack/GitHub handle can be used as the display/public name, while the certificate uses the official name from the second field in Edit Course Profile. It also captures the important warning that the certificate should have the official/legal name rather than the nickname. Minor wording differences do not change the substance.",good,"The single search query was relevant and included key terms from the question (Slack, GitHub handle, course name, certificate name). Only one search was needed to support the answer, so the tool usage was reasonable and not excessive."
"Can I take the course on my own schedule and still get the certificate, or is it only for the live cohort?",69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that self-paced participation is allowed but does not lead to a certificate, and that certificates are only awarded for completing the course with a live cohort because peer-review of 3 capstone projects is required during the active course period.",good,"The single search query was relevant and included key concepts from the question such as self-paced, certificate, and live cohort. One search was sufficient, and there were no unnecessary or duplicate tool calls."
"If I study the course self-paced, will I be able to receive a certificate at the end?",69d122f12e,good,"The agent's answer matches the ground truth key points: no certificate for self-paced study, certificates only for finishing with a live cohort, and the reason is the required peer-review activity during the active course period. It omits the detail about needing to peer-review 3 capstones and the form being closed afterward, but the core answer is correct.",good,"The search query was relevant to the question and included key terms like self-paced and certificate. Only one search was needed, and it was reasonable for this FAQ-style question. The tool call supported the final answer."
Why don’t you give certificates for the self-paced version of the course?,69d122f12e,good,"The agent answer matches the ground truth. It says certificates are only awarded for finishing with a live cohort, and explains that self-paced learners do not receive certificates because the course requires peer-reviewing 3 capstone projects, which can only be done while the course is actively running. This captures the key information from the original answer.",good,"The search query closely matched the user’s question and was relevant. Only one search call was used, which is reasonable for a straightforward FAQ-style question. The tool call supported the final answer and there were no unnecessary or duplicate searches."
Do I have to finish the course while it’s running live to qualify for a certificate?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly says a certificate requires finishing with a live cohort, not self-paced, and mentions the peer-review requirement of 3 capstones during the active course. The only minor issue is the opening 'Yes' is a bit less precise than the original phrasing, but the substantive content is correct.",good,"The single search query used key terms from the question ('certificate', 'live', 'course') and was relevant. One search was sufficient, with no unnecessary duplication or refinement needed. The tool call reasonably supported the final answer."
"Is the peer-review part required for getting the certificate, and can that be done after the course ends?",69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that peer review is required for the certificate, that 3 capstones must be peer-reviewed, that this can only be done while the course is running, and that self-paced learners cannot get a certificate. It also correctly indicates that it cannot be done after the course ends.",good,"The single search query was relevant to the question and contained the core keywords about peer review, certificates, and after-course timing. One search was sufficient, and the tool use supported the final answer."
Do I still qualify for the certificate if I missed the first homework?,9f689c185f,good,"The agent answer matches the ground truth: it states that missing the first homework does not affect certificate eligibility, that passing the Capstone project is what matters, and that homework is optional but helps reinforce concepts and counts toward leaderboard rank. This preserves the key information accurately.",good,"The single search query is relevant and includes the main keywords from the question and answer theme: certificate, homework requirement, and qualification. One search call is sufficient here, and there are no unnecessary duplicates or misdirected queries."
Is the Capstone project enough to get the course certificate?,9f689c185f,bad,"The agent’s answer is mostly aligned with the ground truth on the main point: the Capstone project is required and homework is not mandatory. However, it adds several extra claims not present in the original answer, especially the requirement to complete peer reviews and the live cohort/self-paced distinction. Since the task is to match the FAQ answer, these unsupported additions make it not fully correct.",good,"The search query used the main keywords from the question and was relevant. Only one search call was made, which is reasonable. However, the final answer introduced details that were not supported by the ground truth, so while the trajectory was acceptable, it did not fully support a correct response."
"Are homework assignments required for certification, or are they optional?",9f689c185f,bad,"The agent did not match the ground truth. The correct answer says homework is not mandatory, but the Capstone project must be passed to get the certificate. The agent instead said it could not find an explicit FAQ entry and only provided unrelated workflow details. It missed the key certification requirement and the fact that homework is optional.",good,"The search query was relevant to the question and used the key terms 'homework', 'required', 'certification', and 'optional'. Only one search was made, which is reasonable, though the result handling did not lead to the correct answer. Still, the tool usage itself was appropriate."
"If homework isn't mandatory, what do those points actually affect?",9f689c185f,good,"The agent’s answer matches the ground truth. It correctly states that homework is not mandatory, that you need to pass the Capstone project to get the certificate, and that homework points count toward leaderboard rank only. This preserves the key information in the original answer.",good,"The single search query was relevant and included the key concepts from the question: homework optional, points, and what they affect. One search call is reasonable here, and there were no unnecessary duplicates."
Should I still do the homework even if it's not needed for the certificate?,9f689c185f,good,"The agent answer matches the ground truth. It correctly says homework is not required for the certificate, is recommended for practice/reinforcement, and that the certificate depends on passing the Capstone project while homework points affect leaderboard rank. This includes the key information from the original answer.",good,"The search query was relevant to the question and included the key ideas of homework, certificate, and optionality. Only one search call was used, which is reasonable for this straightforward FAQ-style question. The tool call supported the final answer."
Why does the homework content keep changing before it’s released?,96286b4be4,good,"The agent answer matches the ground truth well. It includes the key condition that '[DRAFT]' means the homework is not ready, the two readiness criteria (form open and title no longer contains [DRAFT]), and the warning that early work is at your own risk because the final version may differ. This is substantively the same as the original answer.",good,"The single search query is directly relevant to the user's question and uses the main phrase from the question. One search call is reasonable, and there were no unnecessary or duplicate tool calls. The tool call supports the final answer."
How can I tell if a homework is actually ready to do?,96286b4be4,good,The agent answer matches the ground truth. It correctly states both readiness conditions: the form must be open and the title must not contain [DRAFT]. It also includes the important implication that [DRAFT] means not ready yet and that working early is at your own risk because content may change.,good,"The single search query directly used the question wording and was relevant. One search call was sufficient, with no unnecessary duplication. The tool call reasonably supported the final answer."
What does it mean when the homework title has [DRAFT] in it?,96286b4be4,good,"The agent answer matches the ground truth closely. It correctly states that '[DRAFT]' means the homework is not ready yet, that it is only ready when the homework form is open and the title no longer contains '[DRAFT]', and that the content may still change so working early is at the student's own risk. This preserves the key information from the original answer.",good,"The single search query was relevant and contained the key phrase '[DRAFT]' and the homework context. One tool call is reasonable for this question, and there were no unnecessary or duplicate searches. The tool call supports the final answer well."
Can I start working on homework early if it still says draft?,96286b4be4,good,"The agent answer matches the ground truth. It states that a homework title containing [DRAFT] means it is not ready, that it is only ready when the form is open and the title no longer contains [DRAFT], and that working early is at the student's own risk because the content may change. This preserves the key information from the original answer.",good,"The search query was relevant and included key terms from the question such as draft, homework, and early working. Only one search was used, which is reasonable for a straightforward FAQ-style question, and it supported the final answer."
When is it safe to assume the homework won’t change anymore?,96286b4be4,good,"The agent answer matches the ground truth: it states the two required conditions (form open and title without [DRAFT]) and correctly notes that until then the content can still change and working early is at the user's risk. It omits the explicit first sentence explaining that [DRAFT] means not ready yet, but the key information is preserved.",good,"The single search query was relevant and contained the main concepts from the question about when homework stops changing. One search call is reasonable, and there were no unnecessary duplicate calls. The tool use supports the final answer."
When is the llm-zoomcamp going to be offered again?,bd31146b0e,bad,"The agent answer does not match the ground truth. The correct answer is a specific date: Summer 2027. Instead, the agent says the FAQ does not list a specific next start date and gives unrelated information about current cohort materials and starting whenever you want. This misses the key information requested.",good,"The tool call was only loosely relevant. The search query asked about when llm-zoomcamp will be offered again, which is appropriate, but the agent failed to extract or provide the specific answer. Only one search call was made, which is reasonable, but it did not support the correct final response."
Do you know the next time this course will run?,bd31146b0e,good,The agent's answer exactly matches the ground truth key information: the next time the course will run is Summer 2027.,good,"The single search query was relevant to the question about the next course run and used appropriate scheduling keywords. One search call was sufficient, with no unnecessary repetition."
What’s the upcoming offering for this course?,bd31146b0e,bad,"The agent answer does not match the ground truth. The correct answer is 'Summer 2027,' but the agent instead says the course can be started anytime and refers to a current platform URL, explicitly noting that no future date was found. This misses the specific upcoming offering date required by the question.",bad,"The search query was too vague for the question and did not include the course name or a keyword like 'summer 2027'/'offering'. With only one generic search, it was unlikely to retrieve the specific FAQ detail. The tool use was not well targeted to support the correct answer."
When should I expect the next course session to start?,bd31146b0e,bad,"The agent did not match the ground truth. The correct answer is 'Summer 2027,' but the agent instead gave a generic statement that the FAQ does not specify a date and suggested checking elsewhere. This misses the exact expected start time.",bad,"The search query was relevant in a general sense, but it was too vague and did not include the key likely keywords from the question such as 'summer 2027' or 'next course session.' Only one search call was made, which is reasonable, but it did not effectively support the final answer."
"Is there a planned next run of the course, and when is it?",bd31146b0e,good,The agent’s answer matches the ground truth exactly in substance: it states that the course will next be offered in Summer 2027. This contains the key information asked for.,good,"The search query was relevant to the question and included the important concepts of the course's next run and scheduling. Only one search was used, which is reasonable for this simple factual question. The tool call supported the final answer."
Where can I find the course videos or lectures?,31456f4b5f,good,"The agent’s answer matches the ground truth well. It correctly says to use the LLM Zoomcamp GitHub repository as the main entry point, mentions opening lesson folders, notes that lesson pages have videos linked at the top, and advises using the GitHub repo first because it is easier to keep updated than the YouTube playlist. This preserves the key information from the original answer.",good,"The tool call was reasonable and relevant. The search query was broad but clearly targeted the user’s question about course videos/lectures. Only one search was needed, which is appropriate here, and there were no unnecessary duplicate calls."
Is there a central place I should start from for the lessons and videos?,31456f4b5f,good,"The agent’s answer matches the ground truth key points: it identifies the LLM Zoomcamp GitHub repository as the main entry point, says to open the lesson folders, notes that videos are linked at the top of each lesson page, and recommends following the GitHub repo first because it is more up to date than the YouTube playlist. It adds extra links and steps not present in the original answer, but these do not contradict the core response.",good,"The single search query was relevant to the user’s question and reasonably concise. It used the core idea of starting place for lessons/videos, and only one call was needed to support the answer. The query was a bit generic, but still acceptable and not excessive."
How do I get to the videos for each lesson in the course?,31456f4b5f,good,"The agent answer matches the ground truth well. It correctly says to use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, and that each lesson page has relevant videos linked at the top. It also includes the guidance to prefer the GitHub repo over the YouTube playlist because it is more up to date. The only minor difference is that it omits the image reference, which is not essential.",good,"The search query was relevant to the question and contained key terms like videos, lesson, and course. Only one search call was made, which is reasonable for a straightforward FAQ-style question. The tool use supported the final answer adequately."
Should I use the GitHub repo or the YouTube playlist to follow the course?,31456f4b5f,good,"The agent’s answer matches the ground truth: it recommends using the GitHub repo as the main entry point, explains that it is easier to keep updated than the YouTube playlist, and mentions opening lesson folders and using the videos linked at the top of each lesson page. This preserves the key guidance from the original answer.",good,"The single search query was relevant to the question and used important keywords like GitHub repo, YouTube playlist, and follow the course. Only one tool call was needed, and it supported the final answer without unnecessary duplication."
Where are the lecture links listed for every lesson page?,31456f4b5f,good,"The agent answer matches the ground truth: it says the lecture links are at the top of each lesson page in the LLM Zoomcamp GitHub repository, advises opening the lesson folders, and notes the GitHub repo is the main/up-to-date entry point over the YouTube playlist. That contains the key information from the original answer.",good,"The single search query was relevant to the question and asked about where lecture links are listed. One search call is reasonable for this straightforward FAQ-style question, and the result clearly supported the final answer."
